@relation tweets

@attribute Document string
@attribute Slang {yes,no}

@data
'Lol &lt;&gt;“@juicy_judy: #JustCuzWeFuckin don\'t mean you get meals, and don\'t mean I get dates. Lol�?',yes
'Sevyn streeter is the big homie lol',yes
'@Antosidiq I\'m lol\'n so much right now at this http://t.co/K0xPk3dH58',yes
'Lol Zane really hypes me up smh',yes
'@campa_oct9 lol this was posted by you? http://t.co/SdUnGxOlhO',yes
'@joshclassenCTV My guess is the snow fell on June 30. But definitely had snow on the ground one July 1st. BC rel\'s still slag YEG lol',yes
'@princess_smelly told you lol',yes
'@AriSilverstein LOL you got to see this, its crazy http://t.co/bjMxokBjgf',yes
'@Matsumo4 lol this was written by you? http://t.co/iatoiC69O4',yes
'@ReganLaurenPaul lol this was done by you? http://t.co/nFvmMMqliw',yes
'@daaaish glue lol',yes
'@yuki_795 lol I had a strange feeling this is you http://t.co/fOklT8vo3W',yes
'@____blondiee lol mane it AINT gone happen! mane if it even got to that point we gone have to place a bet on they heads.',yes
'@DeeAlbavera come down with me lol I thought you were in a ten only',yes
'@TomahawkChopx lol the cry room is that way!',yes
'@aketza98 I\'m lol\'n so much right now at this http://t.co/YX3Nv6LF5Y',yes
'@BroganFelipa Im lol\'n so hard right now at this http://t.co/Po2e0l3Fkh',yes
'This ol facetime ass feature on snapchat now.. lol',yes
'@AfterbyrneA7X I\'m lol\'n so hard right now at this http://t.co/P41yQJELwd',yes
'@DUH_Body Ikr �? everybody thought i would never leave lol but idk yet i wanna stay east or out north ..',yes
'@BotlokwaIIY Im lol\'n so much right now at this http://t.co/jlFmNeV9N7',yes
'Eddie so kind 😌 lol',yes
'@504Niko Bye lol im not entertaining you today 😂✌👋',yes
'“@aliciachavez_3: Jeepers Creepers has me always screaming .�? It\'s not even scary lol',yes
'Lol got toughen up RT @bornWEIRD_Lyss: @DOTblackass lol sorry .',yes
'@nbcdays They just need Nick and Gabi out of the picture asap. Not always the more the merrier LOL',yes
'@Creature_SH Haha, awesome.  Honestly, that\'s just another Tuesday for me.',no
'I\'m Hungry.',no
'@daniofficiall you hate me? bye life omg so sad bad mood... jk 😂',yes
'@Lord___Blue don\'t tell me you dare give me more than your soul, bocchan? *he asked back as he looked at you, intently*',no
'@Kieo25 truuuuu',no
'I need a black crop top .',no
'Thank you nanny for blessing me with the ability to get tan 🙌',no
'@cuddlyl0uis LITERALLY SOMEONE RTED MY TWEET FROM FEB',no
'#محارم_نيك_سكس_قصص_مساج_اغتصاب_ا�?لام_سكسيه #قصص_جنسيه  492 http://t.co/38y0qtUP5Z http://t.co/1h0GcNoK1m',no
'@ChrisKing75672 @AdrienBroner under two pounds . And the Argentina change his gloves . Jcc would fuck him up',no
'@seleniously @fallinglntome ikr? teach me then',no
'Moms making this Mac &amp; cheese. Yes gawdddddd. �?�?�?�?👅',no
'My daughter\'s drawing of Darth Doofus for Star Wars Day. Duh! http://t.co/OtnCzUqXWI',no
'@Louis_Tomlinson I LOCE YOUUUUU',no
'Imma still smash that food iont care lol',yes
'Getting in the mood for #studentfilm. Boo hoo! // Ole Shep Wilf Carter http://t.co/2CcJg1beFT via @youtube',no
'Foster The People Performs Best Friend: http://t.co/sOHuUwYPe7 via @YouTube',no
'A closed mind can never lead you to an open heart.',no
'@txcalum 4x4? on the account in my bio tweet me when your done and ill do yours',no
'A BEE JUST LABDED ON MY THIMB WHAT THE FUCK',no
'@sara64440 oh!Thank you💖',no
'Web Design Offer for a Limited Time Only for From 5th to 10th May 2014 Your Custom Website Just $99  http://t.co/ULZj0NXUn6',no
'Is it me or can not help thinking Ibiza is guna be off the scale from ever 8 to 12 hours? @Tuna_RUFC @SamLiversidge @Wez_Dizzle ',no
'@heydeasiaa let me get some',no
'@VexX_SlasheR right dude I was like how do they plan for that lol',yes
'I\'m with @KianLawley 🙌🙌🙌😂😂😂�?�?�?�?��?�?��?�?��?�?��? http://t.co/vETVIUH6xO',no
'You weren\'t tipsy last night. You didn\'t even drink. You did but it was like you only took a sip from the glass.',no
'Do you ever just feel like doing your kids homework so they stop bitching? Ya me too...',no
'@CAN_DJHELPYOU you gotta iPhone? &amp; just go on YouTube duhh',no
'FOR ONLY $20 DOLLARS YOU CAN HAVE MY PROMO TEAM PUSH YOUR MUSIC FOR 4 days!! at http://t.co/4YkXZa6zvV #GETTRAFFIC ',no
'Ima go back to sleep',no
'UPDATE: Four shot a Wheat Ridge hotel party; no life-threatening injuries http://t.co/rp2tv65pMN',no
'to get dominos, or to get mcdonalds.. i really fancy chicken nuggets but don\'t want to leave the house. dilemmas.',no
'@gracebharris @CHVRCHES 3 hour wait for a table :-|',no
'663 #50KFUTGIVEAWAY',no
'@Raptors Let\'s get this rolling. No let downs! #RTZ',no
'Ely yabe this account dm me please�?�?',no
'5 MINUTES',no
'On the way home',no
'Haven\'t played my xbox in a bop',no
'They cute 😳',no
'I\'m having @JacobRidenour96 withdrawals😭',no
'I grabbed the Tommy she think I grabbed on my stomach. Yummy!!!',no
'No idea. #facebooknews http://t.co/zCDLNxaPFi',no
'@Cee_FDB next Sunday 18th',no
'We Might Go Back Up Germantown �? , Hop It Don\'t Rain !',no
'IF YOU REPORT @jb1dswag ILL DM YOU TO JUSTIN, JOHN, DINAH, OR WESLEY WHICHEVER ONE YOU PREFER.',no
'@TheMillenielle aca-scuse me!?',no
Lmfaoooo,no
'if anyone wants some Brandon All-Stars shirts, shorts, or bows let me know!',no
'If it\'s yours, claim that shit.',no
'When I can\'t go home because of the god damn marathon',no
'Y\'all niggas dropping nuggets in the kitchen, working towards your pension',no
'@john Hello. I LOVE @shots Please follow me! х439',no
'transformation from September to April with bae 😋👯 @daaaaydaaaay http://t.co/6mgJEBaQmn',no
'@4WomensHearts #tweetursis is thrilled to have found you. Looking forward to your tweets. ty.',no
'couscous tonight',no
'Fuck niggas can\'t stand em!!!!',no
'cz u r the piece of me',no
'What can Author Elf do for you? - http://t.co/OPensknY1S',no
'@joepagnelli @wpazzurri No one talks about Totonero anymore. If Juve accept punishment like Milan, Fiorentina, etc it would go a long way',no
'I really want Brooklyn to win this.',no
'@Maine_Awfset 😉 lol you already know.',yes
'Today stats: 3 followers, One unfollower via http://t.co/RV4XKWHx6K',no
'YES KRISPY KREME DOUGHNUTS',no
'@getitcarpenter IKR. &amp; IN THE MOVIE THEY BOTH PLAY FRAT BOYS OR HOWEVER YOU SPELL THAT.',no
'Fun at library studying with the falcon can to keep me company!!!!!! #dysfunctional #typical',no
'Hyped: No regret (by Tess Lively) http://t.co/2O8yfKtmKt',no
'Had an interesting conversation in the train with an Englishman from London on his way to Brussels where he works.',no
'Ur pass is 0141. @blackboi_EST94 You scored 1 ticket in our 3.5 grand sweeps (no joke!). Click our shortlink to claim.',no
'Gals them finish smh :/ -_-',no
'3 days = 3 seasons of Game of Thrones',no
'“@mothafukingee: Too tired rn http://t.co/1ObGCq67W0�? Hit a home run for me 😎...',no
'@maisie_barrett rofl this was posted by you? http://t.co/5ZitsqJEWc',yes
'@Taaaliaaah: @llyssssy: 💃💃 http://t.co/wVFE2hZvUm �?�?�?�?�?😩 look at you Congrats on winning prom queen!😊�?�?�?',no
'@KayBuscus not always http://t.co/Ks2jZgxyCJ',no
'http://t.co/PUOdfBsX9A yessss 1000 follower',no
'I cyberstalk alot 😳',no
'PICTURES: Aliens and comic heroes rub shoulders at sci-fi...: ALIENS rubbed shoulders with superheroes ... http://t.co/gtXy5oIxiI #Devon',no
'@AKkim15 @Swordroll there wands that are breckett',no
'@LuuFaalech LOL u gotta see this, its crazy http://t.co/SdAvyODV5w',yes
'Philosophy: Unintelligible answers to insoluble problems.',no
'I\'m keeping it 100 on this... I think @DAYLYT2k  is going to beat @CHARLIECLIPS  @jujurightnow  @KirtlandOne  @sincerebo88  I don\'t think ik',no
'@NiggasBLike: Niggas be like... My Squad full of killas http://t.co/WvYIzfgrrR @briannnnabet',no
'Djokovic hit by fresh injury worry: Novak Djokovic\'s preparations for the French Open later this month have su... http://t.co/6LtQizLeNE',no
'@ooberfuse            ANY QUESTIONS (FREESTYLE) https://t.co/YgolsWmKZd',no
'Shout-out to -----&gt; @luv1Dsa &lt;----- :)',no
'Please go follow :) xx',no
'Safety first! #sisters 😂😂 http://t.co/ihBqGe2Kyd',no
'@stancil_e @that_metz_girl 😂😂😂 that commercial is funny',no
'@aamanderss_ SOMETIMES I FORGET you\'re a married woman with a child and a husband',no
'I love wearing skirts I feel classy 😂😂',no
'Today stats: No new followers, 2 unfollowers via http://t.co/5UJaze0doq',no
'@StonerKvng haha this blog by you is hilarious http://t.co/6oZZ028gYG',no
'@HeyItsJareddd @HngGholt @TheCaptainSquid @TureenDatAss jesus sucked my duck once',no
'@saekell hi !!please follow me i need your help i want to make my dream truth but i need youe help is just question #11',no
'I just feel like the embodiment of Lucifer, sometimes. I\'m constantly at war mentally and emotionally with myself.',no
'“@TheTumblrPosts: I could stay home sleeping all day while my parents think im in school http://t.co/0mJtPRnHaN�? why don\'t we invent this??',no
'why do 12 year olds smoke i mean c\'monnnnnnn, you\'re 12',no
'A little Late but im a proud owner of @onedirection \'s \'Our Moment\'! It\'s amazing!Love it�? thank u 😭 @NiallOfficial 💕 http://t.co/A7lFdbSzRh',no
'@NiallOfficial Niall James Horan What did the ghost say to the bee? BOO-BEE!! 👈😎👈 follow @urnotniall please',no
'You still make me smile, even if you are the main reason why i\'m sad',no
'Chill yo that\'s the homie lol RT @IbSkeeAlii: Salmons is a bum!',yes
'May the 4th be with you.',no
'Ppl who do good in life, will succeed in the future',no
'Yeah but I look ugly @I3ussell http://t.co/HLlIKAkRVP',no
'I be feeling like the man when I walk thru',no
'@xfollowupdatesx thanks soo much!',no
'DO IT TLG AWAITS! http://t.co/rlheNR4Pwn May 04, 2014 at 11:34AM',no
'Allstate Agent – Ownership Opportunity! Property &amp; casualty, life and health ins... http://t.co/O2MOQes6aA #job',no
'First of my friends to check into Austria! Schooled. http://t.co/izsKj5fM8P http://t.co/4zgEboYspd',no
'@Zodiac_NsG want to play ?',no
'Lil Durk went in on Chiraq.',no
'Minnesota stand up http://t.co/6fhhrn88bw',no
'@TheMattEspinosa #askmatt #askmatt has London been the best or what?',no
'@ImNiqHoe hell you kno it lol 😂👌',yes
'@bigbspoilers @Craftybeotch @JagbusAnne @KraziliaLove ALOL! This is why I love @bigbspoilers #BBCAN2',yes
'well played girls, 3rd place:)',no
'May the fourth be with you #SW',no
'how do people find friends on the internet',no
'“@ComedyOnIy: this vine gives me life 😂😂 http://t.co/ssN4lQ10yH�? 😂',no
'Tipperary v Kilkenny Live! http://t.co/BbMMc7e7lK #GAA',no
'Get my puppy in two days�?��?',no
'@RANDOM_GURL_SA omfg this entry by you is cool http://t.co/yvlZ8D6GD5',no
'The Original Bike Jock........ http://t.co/CngynLRaIJ',no
'@Bakedaddy16 rofl I had a strange feeling this was u http://t.co/2NjUJIKcKw',yes
'@UrgalTlhale rofl u gotta see this, its crazy http://t.co/LSANM6G8Hb',yes
'@itsrealchris rofl I had a strange feeling this is yours http://t.co/9RlqwuLrks',yes
'@StynetteH rofl u gotta see this, its epic http://t.co/woHPdeShAY',yes
'@3kevdog3 rofl I had a crazy feeling this was you http://t.co/olFJsAWbqV',yes
'@njnylifestyle rofl you got 2 see this, its epic http://t.co/NCUhAdFTul',yes
'@Clout_God_04 rofl u got to see this, its awesome http://t.co/t2G0YccS4X',yes
'@TomGetsFD rofl u got 2 see this, its funny http://t.co/ET5Pl7BFds',yes
'@prnprn_0728 rofl u got to read this, its funny http://t.co/ElHJGtFo2V',yes
'@annachabuchu2 rofl u gotta read this, its crazy http://t.co/YSOgvops5C',yes
'@MarxXander rofl this was written by you? http://t.co/R8Ae3KGO47',yes
'@LogikxReignx rofl this was written by you? http://t.co/fYfRsD4gPt',yes
'@AngelIsabel4 rofl I had a strange feeling this is you http://t.co/ohg7bdmrlv',yes
'@rikiharu10 rofl I had a crazy feeling this is you http://t.co/fwPuhpgnsr',yes
'@Domo0G_ rofl I had a eerie feeling this is yours http://t.co/i7hbZisl7V',yes
'@NeilFebruary rofl you gotta read this, its funny http://t.co/ANE7hXtdWB',yes
'@EricHoff14 rofl I had a weird feeling this was u http://t.co/Lyuq1MYflu',yes
'@narito_49 rofl I had a weird feeling this is u http://t.co/oaaVDcXyD2',yes
'@dylan_slaughter rofl this was posted by you? http://t.co/4GRuyGV44X',yes
'@AidanJHacker rofl I had a weird feeling this is yours http://t.co/QVIEi54t0z',yes
'@ThIrTyRaCkZ rofl I had a eerie feeling this was u http://t.co/zLq5OFz0EI',yes
'@porter_calista rofl this was made by you? http://t.co/DCM9m1Imo7',yes
'@dre_medici rofl this was made by you? http://t.co/QMQo50FRlD',yes
'@ChrisHTF rofl this was posted by you? http://t.co/d7tmsyn0ka',yes
'@PreetySandy rofl this was written by you? http://t.co/SLriCo6sTB',yes
'@Bakes0729 rofl you gotta read this, its epic http://t.co/haAw1tQrre',yes
'@jobvinesa rofl I had a strange feeling this is you http://t.co/N9Zkkj1Xq9',yes
'@MarissaGowe rofl u got to see this, its epic http://t.co/2m7LvEMpzu',yes
'@StevenK84063570 rofl this was done by you? http://t.co/YT9MYoGgS6',yes
'@_breelynn4 rofl I had a crazy feeling this was yours http://t.co/zQOopFzAwx',yes
'@Jessicafocker rofl you gotta read this, its crazy http://t.co/FTaZc2vbLX',yes
'@jordanlumpkins1 rofl this was posted by you? http://t.co/zNeebXz0io',yes
'@ma___0619 rofl this was made by you? http://t.co/kj9eG6iZT0',yes
'@LHlako rofl I had a weird feeling this was u http://t.co/LbI2WIXmX8',yes
'@amurphh12 rofl this was posted by you? http://t.co/fh7sr0GAdX',yes
'@NatashaSramek rofl this was written by you? http://t.co/JGAW31VObt',yes
'@bsnzgrt rofl you got 2 see this, its epic http://t.co/F8gF6JekJP',yes
'@ReallyTumblr rofl I had a weird feeling this is you http://t.co/rDBxv2ZnkG',yes
'@Elenyalendon rofl u got to see this, its awesome http://t.co/vuVuHelxF8',yes
'@TiennaDeroy rofl you got 2 see this, its crazy http://t.co/1FRCjvv0PI',yes
'@mad24rockchick rofl you got 2 read this, its awesome http://t.co/KB0kJ2auXr',yes
'@hellow_world000 rofl this was made by you? http://t.co/g9YNPfjVnF',yes
'@fans_vikings rofl this was done by you? http://t.co/yr3WjJ8gHl',yes
'@BenaDiSenior rofl u got to see this, its crazy http://t.co/R7y9RkulE7',yes
'@othello7m rofl this was posted by you? http://t.co/2TVfM21wdt',yes
'@Euphiniia rofl this was written by you? http://t.co/uediTUpdSJ',yes
'@SlaidOnN rofl you got 2 read this, its crazy http://t.co/7ZZKoK4uD3',yes
'@JrGervasi rofl this was made by you? http://t.co/akLKzTWa5J',yes
'@salah641335 rofl this was done by you? http://t.co/MVesjI23Ia',yes
'@o227828m rofl u got 2 see this, its funny http://t.co/zFkbGDQqyR',yes
'@queentrvn rofl this was done by you? http://t.co/5GTiTPfuJw',yes
'@Z_biach rofl u got to read this, its epic http://t.co/RlZriaVDVs',yes
'@SilviaKholid rofl this was made by you? http://t.co/xsj3xjAuhV',yes
'@MitchBussard rofl this was done by you? http://t.co/b1e8k08Sk5',yes
'@Fishflops rofl I had a weird feeling this is you http://t.co/0lWpnsK71s',yes
'@23mikeanderson rofl I had a weird feeling this is yours http://t.co/y57tUFBkzC',yes
'@uw_aikapi rofl I had a eerie feeling this is yours http://t.co/rqrcNuAMUp',yes
'@heat02zero rofl I had a strange feeling this is yours http://t.co/GJmsa7LjYu',yes
'@super_adviser rofl I had a weird feeling this is yours http://t.co/KsSbRt5hRT',yes
'@AfroIdealist rofl you got 2 read this, its epic http://t.co/IrOXn8sJ7C',yes
'@thetruebraden rofl this was written by you? http://t.co/DdhoQAAZdh',yes
'@__reporter rofl this was done by you? http://t.co/XgWxfZZDAE',yes
'@KyraOrwin rofl I had a crazy feeling this was u http://t.co/34I9YzX6mA',yes
'@dr1ve_orDie_ rofl this was made by you? http://t.co/r6thUbBI3c',yes
'@cricketaakash u were saying on star power, sample size chota hai. Ab ne bada kar diya sample size.',no
'@YadiePang rofl I had a strange feeling this is yours http://t.co/WbxMuRbtll',yes
'@leebrooklynne rofl this was done by you? http://t.co/NYNVbI53BC',yes
'@WalFisch3 rofl you gotta see this, its epic http://t.co/FKIWXMQ7O0',yes
'@kagithanecarsi rofl this was done by you? http://t.co/TkyMNaL91J',yes
'@icedogs28 rofl I had a strange feeling this is you http://t.co/33v4B9sRUV',yes
'@Nataliems79 rofl you gotta see this, its awesome http://t.co/rQZoE7jYRy',yes
'@GymnastsLife rofl this was done by you? http://t.co/WGTXwAJZJc',yes
'@lalalayne123 rofl u gotta read this, its epic http://t.co/idVSJ93zdV',yes
'@Smirconia rofl I had a crazy feeling this is yours http://t.co/2XXhIYaeXI',yes
'@tater_bugg03 rofl u got 2 see this, its awesome http://t.co/s9ClZ8Rk6Z',yes
'@Eviee223 rofl I had a strange feeling this was you http://t.co/ztyIubh2jG',yes
'@jamiluvskhalil rofl you got 2 see this, its funny http://t.co/cx0k807IeD',yes
'@kaye_savage rofl u got to see this, its funny http://t.co/Gv3nh5jzgcs',yes
'@AbidSherAli @Shahidmasooddr rofl!rolls on the floor laughing.im also very scared of your economic agenda.bilkul he na doob jaein!',yes
'@goyalaish738 Conversation padti ho ya fir jokes.... rofl ....',yes
'@SeanPalmer_ rofl I had a eerie feeling this is yours http://t.co/T3RkVUf3CW',yes
'@Mahad_Farah lmao that\'s what im saying',yes
'@stevejewbs: lmao http://t.co/S8q8kAIraF',yes
'Terrible RT @MrTreyTwinx: Dwane Casey didn\'t ride the subway all morning to watch the Nets put up 61 in the first half lmao #netsbasketball',yes
'Lmao RT @iTIGER_09: 😂😂😂 back to da dog pound where yu belong!! RT @carefree_KC: Back to reality; Omw to work 😒',yes
'“@drowsyIuke: their EP sold more copies than 1D\'s first album lmao get over yourselves�? 1d promoted their album as soon as it came out',yes
'@omgitsKRYSTOL Lmao me too tho nd as long as it wasn\'t in a church you good lol',yes
'Lmao that video mad funny',yes
'Not all one direction fans left the boys for 5 seconds of summer lmao dumb af',yes
'Cookout at moms! #sundayfunday  I might get on this damn slip n slide with the kids lmao:-D  gorgeous day!',yes
'😂😂😂 @FoolishThoughtz: Lmao 😂😭 So this happened at the White House https://t.co/CLbQ9YOmjr',yes
'Pastor said #Lust my girl looked @ me &amp; seems like the rest of the church looked 2.  I\'m like Damn Y\'all it\'s gone.  Lmao #YYalllooking@me',yes
'@Steinville lmao will do',yes
'When I was with her, it was like biting into a york peppermint patty, I get this sensation I\'m at the top of the highest mountain lmao',yes
'@jakegatti22 lmao call in sick bro',yes
'@_FabianPerez its funny to you! Im about to snap lmao',yes
'@MeganAnnCastano lmao they\'re bouta get swept',yes
'I just wanna upload all of my prom pictures, but I don\'t wanna be annoying lmao',yes
'I\'m such a piece of shit and I probably will be one for the rest of my life lmao',yes
'@StephMisciagna LMAO seriously though😷😂',yes
'@UtdLover: What a fat cunt. http://t.co/rdg06K2FTmFAT CUNTS R US AYY LMAO',yes
'@love_tkyla @dniquelove_ what she had said about it lmao',yes
'@TSoto93 lmao Awh I don\'t have your address or anything I just haven\'t seen you guys in so long 😭',yes
'Lmao my neighbors',yes
'@ponteezy @4O0ZLyfe I want sum chorizo . Lmao',yes
'Lmfao (/.)@Lona_uScott: LMAO RT @siphoo_: Ma nigga, il be your flowerboy RT @Prince_ma7: Cnt wait 2 say my vows thou',yes
'They gave us about 40 fortune cookies lmao',yes
'@abcdennis_ je tweette in die 2 min lmao',yes
'@deum_cuh lmao that\'s what my bro in law be telling me',yes
'@Adrians_Wifee @MakeMeProud_XO lmao just have my plate ready by no later than 5:30 hun',yes
'@Hamer96 @jordanlyd @samcrawf lmao brilliant G!!',yes
'Love it! #Rays lmao at CC getting shelled! Suck it Yankees!',yes
'Its okay tho I use em later lmao',yes
'I basically spent last summer at Natalie\'s house lmao crazy adventures',yes
'@Jewdyyy_ lmao.',yes
'Sum girl went up to @SaiyanDrifter and completely grabbed his ass to pull up his pants sayin its for the better of humanity and smiled lmao',yes
'@CdotBdotWeMajor @quaylholloway lmao fuck',yes
'Gotta continue my workouts , was getting compliments on my lil body lmao 😩',yes
'My lightskin slander tweets were so dope last year lmao',yes
'I always see freeman on peach street lmao',yes
'@JoemccannJoe @BBCWorld lmao that sounds like a reward rather than a form a punishment.',yes
'@SavagePatchK1ds LMAO RT THIS',yes
'I\'m honestly more excited to get a new kitten than turning 18 next month lmao',yes
'@Brockdieasel yupp lmao',yes
'Lmao at madea',yes
'“@SmackJohnson4: @PennyTheGOAT: When she tells you she\'s off her period https://t.co/nWYuWClQ06�? lmao',yes
'Fuck blade lmao',yes
'@Tre_God true lmao and every time devan comes he\'s in his del taco uniform lmao',yes
'“@drowsyIuke: their EP sold more copies than 1D\'s first album lmao get over yourselves�? get your facts straight!',yes
'“@LadyGagaNowNet: A cop with a drugs detection dog outside the BB&amp;T Center. http://t.co/5zRaGhCbat�? lmao that\'s dogs nose is broken 😚💨',yes
'@Archie_Bold lmao for sure',yes
'Lmao no roommate next week promises with new relationship, love lines and more.',yes
'If you text my crappy phone I\'ll probably won\'t reply bc, I hate texting on there lmao',yes
'Lmao nigga i didnt get nun this year , ion like 2\'s',yes
'Plus 40+ hours a week 😩 lmao but the raise was amazeballs',yes
'Lmao how tt did their shirts end up off 😂😂😂',yes
'lmao he said who else you talking to llf',yes
'Lmao CNN wan cast oga jona',yes
'Lmao I meeeeeeeean RT @TheFreshestLame: GOT. ME. FUCKED. UP! http://t.co/gZpi5KxfNX',yes
'@__sipSL0W lmao Bish I done switched niqqas &amp; lost the cake it\'s still bakin thou 😂😩',yes
'Ick I retweeted something from country boy life on accident lmao',yes
'@miandmycrew lmao there u go...my Nigga my nigga',yes
'“@lovelexisssss: Lmao 😂😂😂😂 http://t.co/7cKP3n5qq0�? 😂😂',yes
'“@FailsVines: Lmao 😂',yes
'https://t.co/JmQuPQaIre�? 😂😂😂😂😂😂😂�?�?�?�?�?�?😂😂😂😂😂😂😂😂😂',?
'Lmao ok cum slip with me RT @DJ_Chillies: Lol dnt b shy say it, let\'s slip lol @Tebogo_Tee: Uhm RT @DJ_Chillies: Co @Tebogo_Tee: Slooooooo',yes
'@Amrit_Singh15 lmao not my car but still kingly',yes
'@Navair06 lmao I\'ll have my eye on you bruh',yes
'Doug Doug Doug Doug. You\'re just Doug now.',no
'That was weird',no
'@wtfidekuhhhh YES OMG',yes
'#26Mgmt http://t.co/gGfvU3c6LL',no
'@justinbieber Justin, I just wanna say THANK U FOR EVERYTHING Youre my reason to smile Youre my angel, You\'re my livesaver! I love you ♥246',no
'Sometimes, being the better person doesn\'t always make you a happy person... 💬💭',no
'A woman becomes automaticaly 10 times more attractive when she gets a tattoo! #TattooedWomen',no
'Wazzup everyone? :)',no
'Dragon Bach Z',no
